,state_avg_r2,state_count,expl_avg_r2,expl_count,total_appearances,importance_score
Rotation_Speed,0.0799752343322451,68,0.0799752343322451,68,136,0.6559826640325715
Gas_Inlet_Flow,0.12948371272839682,42,0.10396635419706346,31,73,0.41269742243928953
Gas_Inlet_Temperature,0.09436645379303392,40,0.08439527631087246,38,78,0.4101741647139472
Gas_Inlet_Pressure,0.07490263097176782,35,0.11775978421878691,39,74,0.4089024371884449
Desulfurization_Liquid_Temperature,0.08057392450272419,40,0.06515761630834409,34,74,0.382872335387201
Desulfurization_Liquid_Pressure,0.026414177825894468,25,0.09276494839132451,31,56,0.3119942874033389
H2S_Inlet_Concentration,0.044838844115461504,30,0.06170539280569679,28,58,0.2990761279051642
Desulfurization_Liquid_Flow,0.08429659615581493,26,0.050475785784577856,28,54,0.2972429114267175
