,state_avg_r2,state_count,expl_avg_r2,expl_count,total_appearances,importance_score
Rotation_Speed,0.0844141693668726,37,0.0844141693668726,37,74,0.6590899185568108
Gas_Inlet_Flow,0.1357967072423603,23,0.06152282371386172,28,51,0.5085712085831656
Gas_Inlet_Pressure,0.08828687601005102,27,0.06958766527637454,24,51,0.4753143267205492
Desulfurization_Liquid_Temperature,0.11724846087100176,21,0.0538725077917753,26,47,0.4631550036907822
Desulfurization_Liquid_Pressure,0.04829948974435027,29,0.09066521389411202,19,48,0.45265483891506764
Desulfurization_Liquid_Flow,0.06089935663418077,23,0.07489735060817948,23,46,0.42540111839869854
H2S_Inlet_Concentration,0.019244197431916524,14,0.10770083677842365,29,43,0.42403923439354513
Gas_Inlet_Temperature,0.07489735060817948,23,0.07003426012930788,20,43,0.40107679407437424
