Flow_liquid,Pressure_liquid,Rotation_Speed,Flow_gas,Pressure_gas,Temperature_gas,CH2S,Temperature_liquid
-0.058385537,-0.0063662,0.019425597,-0.046319719,-0.000780009,0.014589324,0.00478334,0.046728719
0.185443601,-0.008682829,0.029382679,0.033281677,-0.004056993,-0.050344867,0.025371301,-0.002231996
0.164022345,0.015911829,0.037045998,0.003858275,-0.002198979,-0.057823028,0.016536881,-0.031508477
-0.246028226,0.047978644,-0.202912208,0.058707387,-0.006014373,-0.03084186,-0.025308177,0.059894069
-0.248736808,0.047120885,-0.206704989,0.058245597,-0.004843647,-0.03791511,-0.025410254,0.057813286
0.165309979,0.011707276,0.045565191,0.002066518,-0.004739722,-0.050688335,0.019136233,-0.024148344
0.162645921,0.183012175,-0.240797603,0.064317117,-0.00264466,0.009585145,0.001952283,0.109176293
-0.090127581,0.041059163,0.341983659,0.161736785,0.002653789,0.01789049,0.003309109,-0.08274652
-0.036624153,0.011487775,-0.075457635,-0.047769831,0.000406622,0.010941906,0.001142155,-0.035053354
-0.221335823,-0.058009807,-0.105795554,0.001501202,-0.000345351,0.013440741,-0.01141787,-0.063389399
0.143902998,0.158522862,-0.248184585,-0.010932613,-0.003775419,0.013293538,0.000923255,0.113069324
-0.141229786,-0.11456565,0.015276852,0.036484057,0.004070704,0.076337146,0.002539646,-0.021132366
0.096274736,0.021593861,-0.112400222,-0.088533605,-0.000345599,0.012063027,0.00049994,-0.017458955
0.150314317,0.01057487,-0.034781551,-0.013867257,-0.002827378,-0.0224048,-0.002732663,-0.013645019
-0.136918196,-0.110250748,0.012838792,0.028340342,0.003106674,0.074623417,0.002633556,-0.024428533
0.109597605,0.042392205,0.20938891,0.243991536,0.021149547,0.041758832,-0.008934005,-0.037063707
-0.033588053,-0.034382689,0.036254791,-0.078397466,-0.002749528,0.006297149,0.00664686,-0.026834427
-0.254422622,0.045742542,-0.214874859,0.056478781,-0.004026183,-0.04937661,-0.0254934,0.052585558
-0.119251839,0.001177283,-0.02240002,0.027763633,-0.000760918,-0.033764111,0.014962956,-0.000116086
0.034609366,-0.40490423,0.041042671,0.015722341,0.00462085,0.01057684,0.013685563,0.367828603
-0.126372314,0.043077978,0.02545754,-0.115618493,0.004977084,-0.010993846,0.00391908,0.06866244
-0.153065299,-0.153850327,0.196604664,0.078488473,0.021677337,0.0771884,0.022320883,-0.010002248
0.159445322,0.176194147,-0.242752274,0.039237268,-0.005704061,0.006862327,0.001811102,0.112445479
-0.104408487,0.034026286,-0.068094144,-0.002407361,-0.000352877,0.011957991,-0.004760457,-0.057784675
0.183872824,-0.006472317,0.026769156,0.052834315,-0.004032497,-0.053662864,0.024983355,-0.000507439
-0.25299892,0.045879106,-0.211368121,0.057336865,-0.003581568,-0.042826264,-0.025425612,0.054801033
0.080553585,-0.076006995,0.095557017,-0.234562644,-0.002782739,0.008291071,-0.010081905,0.007009569
-0.150874748,-0.112460736,0.01810068,0.04138153,0.002746026,0.073906898,0.002318549,-0.022625155
-0.089164197,0.098532796,-0.073967423,-0.003770825,-0.003788815,0.008172138,-0.008798978,0.083785428
-0.056389398,-0.010594794,0.060274203,-0.080243727,-0.001547532,0.007393768,0.010868969,0.060786045
0.040448078,-0.396327004,0.047902311,0.014676202,0.00559833,0.007608251,0.013650005,0.368843263
-0.039668102,-0.059104402,0.052182246,-0.120531479,-0.002771545,0.004822302,0.007041539,-0.009350655
-0.104894055,-0.080012111,0.044800844,-0.247497224,-0.001003093,-0.005577394,0.018262572,0.043186454
0.105723997,-0.002182317,-0.100212835,-0.046841067,-0.003818757,0.011972553,-0.002419498,-0.029032688
0.155234604,0.005674383,0.021021408,0.026890607,-0.001820712,-0.043668806,-0.001174292,-0.084268379
-0.234427444,0.023739072,-0.02256488,-0.209542845,0.005319253,0.000596104,-0.001677197,0.019455296
-0.025914919,0.057884724,-0.110121097,-0.073058008,-0.002261327,0.011081549,0.001216745,-0.033071537
-0.06624268,-0.074035094,0.058773265,-0.21567603,-0.000101661,0.007973167,0.016090075,0.04002143
-0.257586227,0.044901862,-0.217186178,0.056319535,-0.002426828,-0.046078668,-0.025439301,0.052046245
-0.252571496,0.046133675,-0.210374341,0.057532361,-0.003731245,-0.037898065,-0.025346153,0.055709523
